cpu_all_util_percent,cpu_frequency_ghz,memory_util_gb,energy_util_during_interval_j,sda_write_count_during_interval,sda_read_count_during_interval
70.68,2.5184,6.512149047851563,1.613461,0.0,0.0
70.68,2.810833333333333,6.516804377237956,7.519512000000001,0.0,29272.0
70.68,3.6990000000000003,6.522373199462891,17.406206,0.0,93925.0
70.68,3.6990000000000003,6.522808074951172,16.707415,0.0,92443.0
70.68,3.6990000000000003,6.523822784423828,16.871171999999998,0.0,92360.0
70.68,3.6990000000000003,6.52601569039481,16.667621,3.0,91234.0
70.68,3.6990000000000003,6.5264467511858255,17.147051,0.0,93290.0
70.68,3.6990000000000003,6.526772090366909,16.991533999999998,0.0,92452.0
70.68,3.6990000000000003,6.52661623273577,17.048358,1.0,92818.0
70.68,3.6990000000000003,6.52790778023856,17.227128,0.0,94350.0
70.68,3.6990000000000003,6.527996063232422,16.864397,9.0,90876.0
70.68,3.6990000000000003,6.528090340750558,16.573627,19.0,90697.0
70.68,3.6990000000000003,6.528636932373047,16.809955,0.0,92062.0
70.68,3.6990000000000003,6.529460906982422,16.736591,5.0,91943.0
70.68,3.6990000000000003,6.5305938720703125,16.805926,0.0,92558.0
70.68,3.6990000000000003,6.532686505998884,16.987688,3.0,93098.0
70.68,3.6990000000000003,6.536048889160156,16.980303,0.0,92338.0
70.68,3.6990000000000003,6.5383469717843195,17.047259,0.0,93175.0
70.68,3.6990000000000003,6.538642338344029,17.118669,0.0,93674.0
70.68,3.6990000000000003,6.53886468069894,16.652973,0.0,91150.0
70.68,3.6990000000000003,6.539736611502511,17.213396,8.0,92379.0
70.68,3.6990000000000003,6.540494646344866,17.008501,0.0,92836.0
70.68,3.6990000000000003,6.5406052725655695,17.132403,0.0,90238.0
70.68,3.6990000000000003,6.540061950683594,16.879595000000002,0.0,92505.0
70.68,3.6990000000000003,6.540065220424107,16.94002,0.0,92607.0
70.68,3.6990000000000003,6.543005262102399,16.665363,24.0,90609.0
70.68,3.6990000000000003,6.544289725167411,16.917315000000002,0.0,92373.0
70.68,3.6990000000000003,6.544464656284878,16.896563,0.0,92656.0
70.68,3.6990000000000003,6.545595441545759,16.737995,0.0,91140.0
70.67,3.6990000000000003,6.544343130929129,16.944353,0.0,92267.0
70.67,3.6992857142857143,6.541294097900391,17.034258,5.0,91568.0
70.67,3.6990000000000003,6.537769317626953,17.136553,0.0,92955.0
70.67,3.6990000000000003,6.539798191615513,16.934222,0.0,92580.0
70.67,3.6990000000000003,6.540716988699777,16.805682,0.0,91997.0
70.67,3.6990000000000003,6.542482648577009,16.989642,0.0,93285.0
70.67,3.6990000000000003,6.5421600341796875,16.887224,3.0,92380.0
70.67,3.6990000000000003,6.542198726109096,16.997454,0.0,92091.0
70.67,3.6990000000000003,6.541975838797433,16.708880999999998,0.0,91369.0
70.67,3.6990000000000003,6.542637961251395,16.529804000000002,17.0,90145.0
70.67,3.6990000000000003,6.542051042829241,16.601093,0.0,91256.0
70.67,3.6990000000000003,6.541964394705636,17.07802,5.0,92392.0
70.67,3.6990000000000003,6.542685372488839,16.98543,7.0,92938.0
70.67,3.698857142857143,6.543786185128348,17.263933,0.0,91876.0
70.67,3.6990000000000003,6.544597080775669,16.6086,0.0,90968.0
70.67,3.699142857142857,6.545327322823661,16.944293,8.0,92868.0
70.67,3.7,6.54424558367048,16.821612000000002,0.0,92788.0
70.67,3.7,6.543867928641183,16.707965,3.0,91628.0
70.67,3.7,6.541714804513114,16.779803,0.0,92049.0
70.67,3.7,6.54224123273577,16.621112,0.0,91407.0
70.67,3.7,6.543430328369141,16.911822,0.0,93013.0
70.67,3.7,6.544100625174386,16.770099000000002,5.0,91499.0
70.67,3.7,6.544696807861328,17.341691,0.0,94923.0
70.67,3.7000000000000006,6.544679005940755,14.583276,0.0,80188.0
70.67,3.7,6.545219966343471,16.839922,0.0,92658.0
70.67,3.7,6.546072959899902,19.162244,0.0,104578.0
70.67,3.7,6.5453289576939175,16.733416,0.0,91953.0
70.67,3.7,6.545451572963169,16.653216999999998,3.0,91744.0
70.67,3.7,6.545325687953404,17.033404,0.0,93503.0
70.67,3.7,6.544735499790737,16.805132,0.0,92623.0
