cpu_all_util_percent,cpu_frequency_ghz,memory_util_gb,energy_util_during_interval_j,sda_write_count_during_interval,sda_read_count_during_interval
71.56,2.488,6.492450714111328,1.5736029999999999,0.0,0.0
71.56,2.3618333333333332,6.492551803588867,3.197686,4.0,0.0
71.56,3.241428571428571,6.495849609375,14.959129,0.0,84038.0
71.55714285714285,3.6990000000000003,6.497600555419922,16.689166,0.0,91749.0
71.55,3.6990000000000003,6.500518798828125,16.827533,0.0,92672.0
71.55,3.6990000000000003,6.503663199288504,16.685992,5.0,92036.0
71.55,3.6990000000000003,6.505497523716518,16.711688000000002,3.0,91484.0
71.55,3.6990000000000003,6.507234300885882,16.68233,0.0,91908.0
71.55,3.6990000000000003,6.508920397077288,16.860493,0.0,92582.0
71.55,3.6990000000000003,6.511058807373047,16.852800000000002,0.0,92792.0
71.55,3.6990000000000003,6.51147951398577,16.842487,0.0,92621.0
71.55,3.6990000000000003,6.513414655412946,17.127947,4.0,93557.0
71.55,3.6990000000000003,6.514876229422433,17.077592,0.0,93070.0
71.55,3.6990000000000003,6.5145737784249445,16.837237000000002,0.0,91854.0
71.55,3.6990000000000003,6.514398847307477,16.696857,0.0,91266.0
71.55,3.6990000000000003,6.514081682477679,16.862811,3.0,92383.0
71.55,3.6990000000000003,6.512999943324497,16.997149,3.0,93562.0
71.55,3.6990000000000003,6.512932913643973,17.51143,0.0,92784.0
71.55,3.6990000000000003,6.514086587088449,16.879839,0.0,92178.0
71.55,3.6990000000000003,6.514710562569754,16.703388,0.0,91865.0
71.55,3.6990000000000003,6.516375405447824,16.620074,16.0,91394.0
71.55,3.6990000000000003,6.516517094203404,16.999773,7.0,92001.0
71.55,3.6990000000000003,6.516969408307757,17.081195,30.0,92618.0
71.55,3.6990000000000003,6.51659665788923,17.073381,3.0,93007.0
71.55,3.6990000000000003,6.517245701381138,16.916826999999998,2.0,92471.0
71.55,3.699,6.5180206298828125,14.751549,1.0,80798.0
71.55,3.6990000000000003,6.517683846609933,16.80672,0.0,91540.0
71.55,3.699,6.518418788909912,19.269177,3.0,104972.0
71.55,3.6990000000000003,6.51947511945452,16.8221,0.0,92145.0
71.55,3.6990000000000003,6.518434252057757,16.940997,0.0,92282.0
71.55,3.699,6.519014358520508,14.590112,0.0,79814.0
71.55,3.699,6.519803047180176,19.184948,0.0,105017.0
71.55,3.699,6.5145689646403,14.875145,4.0,80205.0
71.55,3.6990000000000003,6.515036991664341,16.991106,0.0,93274.0
71.55,3.6990000000000003,6.5151775905064175,16.865619,0.0,92788.0
71.55,3.6990000000000003,6.515398297991071,16.984697,1.0,92496.0
71.55,3.699142857142857,6.515018463134766,16.849017,2.0,92400.0
71.55,3.6972857142857145,6.516741071428571,18.033829,3.0,97315.0
71.55,3.6990000000000003,6.518587384905134,16.758745,0.0,92001.0
71.55,3.6990000000000003,6.520299094063895,16.905475,0.0,92718.0
71.55,3.6990000000000003,6.5216843741280695,16.873187,0.0,92736.0
71.55,3.6990000000000003,6.5196702139718195,16.987078,0.0,92938.0
71.55,3.6990000000000003,6.517914363316128,16.865192,4.0,91143.0
71.55,3.6990000000000003,6.519547598702567,16.927141,0.0,92752.0
71.55,3.6990000000000003,6.519081115722656,16.846881,0.0,92428.0
71.54428571428572,3.6990000000000003,6.518823896135602,16.716449,1.0,91994.0
71.54,3.6990000000000003,6.517670767647879,16.655292,5.0,90548.0
71.54,3.6990000000000003,6.518592289515904,16.824907,3.0,92264.0
71.54,3.6990000000000003,6.520307268415179,17.041461,0.0,93085.0
71.54,3.6990000000000003,6.5185699462890625,16.444965,0.0,89997.0
71.54,3.6990000000000003,6.5176593235560825,16.685016,0.0,91660.0
71.54,3.6990000000000003,6.517310006277902,16.915667,0.0,92572.0
71.54,3.6994285714285717,6.517890930175781,17.078264,24.0,91709.0
71.54,3.7,6.518655504499163,16.927996,0.0,92911.0
71.54,3.6995714285714283,6.520369938441685,16.812457,0.0,91381.0
71.54,3.6990000000000003,6.519377027239118,17.184527,4.0,94183.0
71.54,3.699857142857143,6.518982478550503,17.125872,0.0,93069.0
71.54,3.7,6.518063681466239,16.964617,27.0,90429.0
71.54,3.7,6.5193955557686945,16.953935,0.0,92626.0
71.54,3.7,6.519470759800503,16.993365,0.0,92620.0
71.54,3.7,6.519206455775669,16.960467,0.0,92835.0
71.54,3.7,6.520058768136161,16.991412,0.0,92906.0
71.54,3.7,6.520484379359654,17.06093,7.0,90788.0
71.54,3.7,6.518153599330357,17.121173,0.0,93299.0
71.54,3.7,6.5165863037109375,17.109514,0.0,93237.0
71.54,3.7,6.515462602887835,16.928118,1.0,91887.0
71.54,3.7,6.514257703508649,16.771136,4.0,91649.0
71.54,3.7,6.513047354561942,16.840778,15.0,91317.0
71.54,3.7,6.515249524797712,16.946367,0.0,92488.0
71.54,3.7,6.5145688738141745,16.812762,0.0,91903.0
71.54,3.699857142857143,6.514185224260602,16.831318,0.0,91955.0
71.54,3.7,6.513407026018415,16.823992,0.0,91356.0
71.54,3.7,6.514847346714565,16.995501,5.0,91825.0
71.54,3.699857142857143,6.513153076171875,17.244889,0.0,93210.0
71.54,3.7,6.512560708182199,17.048357,0.0,92797.0
71.54,3.7,6.514035906110491,16.88161,1.0,92091.0
71.54,3.7,6.51417487008231,16.738667,1.0,91834.0
71.54,3.7,6.514946528843471,17.580581,0.0,92983.0
71.54,3.7,6.514992305210659,17.024493,3.0,93185.0
71.54,3.7,6.515870775495257,16.846881,0.0,92376.0
71.54,3.7,6.516078404017857,16.834796,15.0,92475.0
71.54,3.7,6.515863691057477,17.110185,0.0,92450.0
71.54,3.7,6.515462602887835,16.885821,0.0,92142.0
71.54,3.7,6.516739981515067,16.896319,8.0,91460.0
71.54,3.7,6.516622815813337,16.926654,0.0,91676.0
71.54,3.7,6.517687661307199,17.065752,1.0,92617.0
71.54,3.7,6.5159149169921875,17.231828,3.0,93532.0
71.53166666666667,3.7000000000000006,6.515333811442058,14.712304,0.0,80465.0
71.53,3.7,6.513481140136719,17.107378,3.0,92972.0
71.53,3.7,6.512915475027902,16.854694,0.0,91842.0
71.53,3.7,6.511711665562221,17.093828,0.0,92425.0
71.53,3.7,6.509479522705078,17.00612,0.0,92239.0
71.53,3.7,6.509027753557477,17.15407,0.0,93073.0
71.53,3.7,6.5120953151157925,17.147722,7.0,91631.0
71.53,3.7,6.5138397216796875,17.126787,0.0,93255.0
71.53,3.7,6.515222276960101,17.236591,1.0,93547.0
71.53,3.7,6.514283316476004,16.750994,0.0,91328.0
