model_type_hyperparam,test_option,correct_count,wrong_count,accuracy
nn_4_64_0.2,grid5000_unseen,20,40,33.3333
nn_4_64_0.3,localsever_seen,211,39,84.4
nn_4_64_0.3,localsever_unseen,40,20,66.6667
nn_4_64_0.3,grid5000_seen,250,0,100.0
nn_4_64_0.3,grid5000_unseen,20,40,33.3333
rf_10,localsever_seen,180,70,72.0
rf_10,localsever_unseen,32,28,53.3333
rf_10,grid5000_seen,250,0,100.0
rf_10,grid5000_unseen,30,30,50.0
rf_50,localsever_seen,194,56,77.6
rf_50,localsever_unseen,32,28,53.3333
rf_50,grid5000_seen,250,0,100.0
rf_50,grid5000_unseen,30,30,50.0
rf_100,localsever_seen,193,57,77.2
rf_100,localsever_unseen,33,27,55.0
rf_100,grid5000_seen,250,0,100.0
rf_100,grid5000_unseen,30,30,50.0
