cpu_all_util_percent,cpu_frequency_ghz,memory_util_gb,energy_util_during_interval_j,sda_write_count_during_interval,sda_read_count_during_interval
82.676,2.5852,7.474232482910156,1.48492,7.0,0.0
82.67,2.643666666666667,7.473316192626953,6.003952,4.0,2.0
82.67,3.699,7.473529815673828,13.389126000000001,4.0,0.0
82.67666666666668,3.699,7.473529815673828,19.375134,0.0,0.0
82.68,3.699,7.473529815673828,13.421535,0.0,0.0
82.68,3.699,7.47389030456543,12.843350000000001,1.0,0.0
82.68,3.699333333333333,7.474327087402344,19.939158,41.0,0.0
82.68,3.699,7.474700927734375,14.238185000000001,1.0,0.0
82.68,3.6995,7.474700927734375,12.602017,0.0,0.0
82.68,3.699,7.47491455078125,20.402109,4.0,0.0
82.69,3.699,7.47491455078125,13.416592000000001,0.0,0.0
82.69,3.6995,7.474706649780273,12.684964999999998,0.0,0.0
82.69,3.699,7.47467041015625,19.251172,0.0,0.0
82.69,3.6995,7.474266052246094,13.127652,4.0,0.0
82.69,3.699,7.474189758300781,13.351344000000001,0.0,0.0
82.69,3.699,7.474430084228516,18.633742,3.0,0.0
82.695,3.699,7.474550247192383,12.745878000000001,0.0,0.0
82.7,3.699,7.475666046142578,13.172269,0.0,0.0
82.7,3.699,7.476632436116536,19.713755,3.0,0.0
82.7,3.699,7.476770401000977,12.993802,4.0,0.0
82.7,3.699,7.476930618286133,12.738738,0.0,0.0
82.7,3.699333333333333,7.4763743082682295,19.130015999999998,0.0,0.0
82.7,3.699,7.476116180419922,13.149747,0.0,0.0
82.70666666666666,3.699,7.475101470947266,19.389721,0.0,0.0
82.71,3.699,7.475101470947266,11.527497,3.0,0.0
82.71,3.699,7.475261688232422,19.118054,1.0,0.0
82.71,3.6995,7.474689483642578,13.238002999999999,0.0,0.0
82.71,3.699,7.475698471069336,14.560144000000001,0.0,0.0
82.71,3.699,7.475532531738281,12.769742,0.0,0.0
82.71333333333332,3.699,7.476098378499349,19.694408,4.0,0.0
82.72,3.699,7.476800918579102,12.941434,2.0,0.0
82.72,3.699,7.476945241292317,17.959671,28.0,0.0
82.72,3.699,7.477117538452148,13.214931,5.0,0.0
82.72,3.699,7.47747802734375,13.078641,0.0,0.0
82.72,3.699,7.477287292480469,19.956981,3.0,0.0
82.72,3.699,7.477392196655273,12.906522,2.0,0.0
82.725,3.699,7.476909637451172,13.409756,17.0,0.0
82.73,3.699,7.475943247477214,19.651317,0.0,0.0
82.73,3.6995,7.4757843017578125,13.541286,0.0,0.0
82.73,3.699,7.476930618286133,12.825407,4.0,0.0
82.73,3.699333333333333,7.477180480957031,19.888925,0.0,0.0
82.73,3.699,7.477687835693359,12.674101,0.0,0.0
82.73,3.6995,7.477687835693359,13.464991999999999,0.0,0.0
82.74,3.699,7.477308909098308,19.164259,15.0,0.0
82.74,3.699,7.477327346801758,12.460294000000001,3.0,0.0
82.74,3.6995,7.477447509765625,13.470853,1.0,0.0
82.74,3.699,7.477765401204427,18.875439999999998,1.0,0.0
82.74,3.699,7.477519989013672,14.114221,2.0,0.0
82.74,3.699,7.477033615112305,12.602873,0.0,0.0
82.74333333333333,3.699,7.478050231933594,19.737071999999998,4.0,0.0
82.75,3.699,7.47883415222168,12.367827,0.0,0.0
82.75,3.699,7.478983561197917,19.661752999999997,0.0,0.0
82.75,3.699,7.47871208190918,12.528655,0.0,0.0
82.75,3.699,7.478633880615234,12.537199000000001,0.0,0.0
82.75,3.699,7.478633880615234,19.709544,3.0,0.0
82.75,3.699,7.4792327880859375,12.985135,1.0,0.0
82.755,3.699,7.479509353637695,13.017302,0.0,0.0
82.76,3.699333333333333,7.479241689046224,19.969552999999998,0.0,0.0
82.76,3.699,7.479351043701172,13.599269,0.0,0.0
82.76,3.699,7.478616714477539,13.379055000000001,4.0,0.0
82.76,3.699666666666667,7.478040059407552,19.873301,0.0,0.0
82.76,3.6995,7.478397369384766,11.99765,3.0,0.0
82.76,3.699,7.478359222412109,13.14645,0.0,0.0
82.77,3.699,7.478224436442058,20.557016,5.0,0.0
