cpu_all_util_percent,cpu_frequency_ghz,memory_util_gb,energy_util_during_interval_j,sda_write_count_during_interval,sda_read_count_during_interval
31.68,2.4226,7.438748931884765,1.571712,0.0,0.0
31.68,3.0025714285714287,7.438280923025949,7.573101,0.0,4.0
31.68,3.7,7.443930149078369,11.441011,0.0,0.0
31.68,3.7,7.445147514343262,11.516328,1.0,0.0
31.68,3.7,7.44489049911499,11.535615,1.0,0.0
31.68,3.7,7.446638107299805,11.822297,8.0,0.0
31.68,3.7,7.4445054190499445,10.142369,2.0,0.0
31.68,3.7,7.443154335021973,11.662811,4.0,0.0
31.68,3.7,7.442741394042969,11.54825,0.0,0.0
31.68,3.7,7.444025039672852,11.536286,0.0,0.0
31.68,3.7,7.4443511962890625,11.422822,55.0,0.0
31.68,3.7,7.443034648895264,11.413423,0.0,0.0
31.68,3.7,7.44292688369751,11.424715,0.0,0.0
31.68,3.7,7.444035053253174,11.56479,1.0,0.0
31.68,3.7,7.445446014404297,10.070408,0.0,0.0
31.68,3.7,7.444103240966797,11.91629,5.0,0.0
31.68,3.7,7.442624092102051,12.242767,2.0,0.0
31.68,3.7,7.443135738372803,11.729096,4.0,0.0
31.68,3.7,7.443849563598633,11.542512,0.0,0.0
31.68,3.7,7.446380070277622,10.302769,0.0,0.0
31.68,3.7,7.445688247680664,11.602447999999999,3.0,0.0
31.68,3.7,7.4444684982299805,11.584261,0.0,0.0
31.68,3.7,7.444804668426514,11.488373,2.0,0.0
31.68,3.7,7.446698188781738,11.513154,1.0,0.0
31.68,3.7,7.4468231201171875,11.492402,1.0,0.0
31.68,3.7,7.446516036987305,11.956574,7.0,0.0
31.68,3.7,7.446741104125977,11.654816,2.0,1.0
31.68,3.7,7.446906498500279,10.344456000000001,5.0,0.0
31.68,3.7,7.445692539215088,11.605439,0.0,0.0
31.68,3.7,7.447064399719238,11.524324,0.0,0.0
31.68,3.7,7.446706771850586,11.612458,4.0,0.0
31.68,3.7,7.446699619293213,11.610749,1.0,0.0
31.68,3.7,7.446023941040039,11.534943,0.0,0.0
31.68,3.7,7.445864677429199,11.504671,1.0,0.0
31.68,3.7,7.443928241729736,11.546052,1.0,0.0
31.68,3.699857142857143,7.4395326886858255,10.472385000000001,5.0,0.0
31.68,3.7,7.442413330078125,12.290618,40.0,0.0
31.68,3.7,7.446887016296387,11.718231,22.0,0.0
31.68,3.7,7.447465419769287,11.523164,0.0,0.0
31.68,3.7,7.447900772094727,11.546663,38.0,0.0
31.68,3.7,7.447917461395264,11.635835,96.0,0.0
31.68,3.7,7.445689678192139,11.530549,69.0,0.0
31.68,3.699857142857143,7.4474896022251675,10.029696999999999,0.0,0.0
31.68,3.7,7.447537899017334,11.481661,1.0,0.0
31.68,3.7,7.4451494216918945,11.572053,0.0,0.0
31.68,3.7,7.445236682891846,11.800385,5.0,0.0
31.68,3.7,7.447155475616455,11.622956,2.0,0.0
31.68,3.7,7.447907447814941,11.628998,6.0,0.0
31.68,3.7,7.447065353393555,11.587555,0.0,0.0
31.68,3.699875,7.447668552398682,11.615755,0.0,0.0
31.68,3.7,7.4471659660339355,11.647858,3.0,0.0
31.68,3.7,7.446132659912109,10.144261,0.0,0.0
31.68,3.7,7.446700572967529,11.677644,4.0,0.0
31.68,3.7,7.446437358856201,11.667573,1.0,0.0
31.68,3.7,7.445430755615234,11.531953,0.0,0.0
31.68,3.7,7.445499420166016,12.076141,6.0,0.0
31.68,3.7,7.445219312395368,10.501743,4.0,0.0
31.68,3.699875,7.4436726570129395,11.828826,4.0,6.0
31.68,3.7,7.442370891571045,11.649018,2.0,0.0
31.68,3.7,7.443989276885986,11.582918,0.0,0.0
31.68,3.7,7.44340705871582,11.601288,3.0,0.0
31.68,3.7,7.442911624908447,11.670075,2.0,0.0
31.68,3.7,7.44228458404541,11.624544,0.0,0.0
31.68,3.7,7.441753387451172,11.499054,1.0,0.0
31.68,3.7,7.444286346435547,11.615205,0.0,0.0
31.68,3.7,7.448474884033203,10.312413,8.0,0.0
31.68,3.7,7.447479248046875,11.629731,2.0,0.0
31.68,3.7,7.446412563323975,11.669831,7.0,0.0
31.68,3.7,7.447245121002197,11.522431000000001,0.0,0.0
31.68,3.7,7.447246551513672,11.57071,0.0,0.0
31.68,3.7,7.448792457580566,11.493928,3.0,0.0
31.68,3.7,7.447954177856445,11.480074,0.0,0.0
31.68,3.7,7.449225902557373,11.480561,7.0,0.0
31.68,3.7,7.447919028145926,10.132116,1.0,0.0
31.68,3.7,7.447678565979004,11.499054,0.0,0.0
31.68,3.7,7.447085380554199,11.731537,5.0,0.0
31.68,3.7,7.444380283355713,12.037873,34.0,0.0
31.68,3.7,7.446893215179443,11.615693,4.0,0.0
31.68,3.7,7.445019245147705,11.55246,0.0,0.0
31.68,3.7,7.443869590759277,11.554658,0.0,0.0
31.68,3.7,7.443121228899274,10.18601,3.0,0.0
31.68,3.699875,7.443397045135498,11.65622,0.0,0.0
31.68,3.7,7.444238662719727,11.704437,0.0,0.0
31.68,3.7,7.443655014038086,11.573701,3.0,0.0
31.68,3.7,7.441433429718018,11.499177,0.0,0.0
31.68,3.7,7.441834449768066,12.185027,5.0,5.0
31.68,3.7,7.440950870513916,11.573518,3.0,0.0
31.68,3.7,7.444056987762451,11.733613,4.0,1.0
31.68,3.7,7.447422981262207,11.562104,3.0,0.0
31.68,3.7,7.4466416495186945,10.125584,0.0,0.0
31.68,3.7,7.448520660400391,11.746613,3.0,0.0
31.68,3.7,7.449118614196777,11.855927,60.0,0.0
31.68,3.7,7.448019504547119,11.586275,0.0,0.0
31.68,3.7,7.449108123779297,11.826018,2.0,1.0
31.68,3.7,7.449200630187988,11.584016,0.0,0.0
31.68,3.7,7.448538780212402,12.008759,4.0,0.0
31.69,3.7,7.444314684186663,10.853488,2.0,0.0
31.69,3.7,7.443921089172363,11.707733,17.0,0.0
31.69,3.7,7.444160461425781,11.670625000000001,2.0,0.0
31.69,3.699875,7.446556568145752,11.618928,44.0,0.0
31.69,3.7,7.449976921081543,11.605499,96.0,0.0
31.69,3.7,7.4490203857421875,11.536226,0.0,0.0
31.69,3.7,7.447912216186523,11.552948,0.0,0.0
31.69,3.7,7.446345329284668,11.576998,0.0,0.0
31.69,3.7,7.445438385009766,10.150547,0.0,0.0
31.69,3.7,7.444273471832275,11.583772,3.0,0.0
31.69,3.7,7.446666240692139,11.956329,4.0,0.0
31.69,3.7,7.446808338165283,11.563752,1.0,0.0
31.69,3.7,7.44563627243042,11.589143,0.0,0.0
31.69,3.7,7.444550514221191,11.538178,0.0,0.0
31.69,3.7,7.4437761306762695,11.516512,1.0,0.0
31.69,3.7,7.449584484100342,11.500764,3.0,0.0
31.69,3.7,7.4500579833984375,11.535309,52.0,0.0
31.69,3.7,7.449417659214565,10.163182,1.0,0.0
31.69,3.7,7.44917631149292,11.651948,4.0,0.0
31.69,3.7,7.446809768676758,11.555513,1.0,0.0
31.69,3.7,7.450256824493408,12.442473,7.0,0.0
31.69,3.7,7.450557708740234,11.876922,4.0,0.0
31.69,3.7,7.450588703155518,11.793305,0.0,0.0
31.69,3.7,7.44901704788208,11.626557,2.0,0.0
31.69,3.7,7.448084694998605,10.23856,0.0,0.0
31.69,3.7,7.447911262512207,11.707551,9.0,0.0
31.69,3.7,7.448703289031982,11.678193,0.0,0.0
31.69,3.7,7.446654796600342,11.638397,1.0,0.0
31.69,3.7,7.448763847351074,11.597444,1.0,0.0
31.69,3.7,7.45032262802124,11.625215,1.0,0.0
31.69,3.7,7.445237159729004,11.929168,26.0,0.0
31.69,3.7,7.44716739654541,11.747224,4.0,0.0
31.69,3.7,7.448747907366071,10.264866,1.0,0.0
31.69,3.699875,7.44753360748291,11.606599,3.0,0.0
31.69,3.7,7.443022727966309,11.539277,3.0,0.0
31.69,3.7,7.442680835723877,11.589753,3.0,0.0
31.69,3.7,7.446040153503418,11.468904,0.0,0.0
31.69,3.7,7.4476704597473145,11.621611999999999,1.0,0.0
31.69,3.7,7.44671630859375,11.612886,6.0,0.0
31.69,3.7,7.4454545974731445,11.62967,1.0,0.0
31.69,3.7,7.447400774274554,10.867892,6.0,0.0
31.69,3.7,7.446728229522705,11.664582,4.0,0.0
31.69,3.7,7.44676399230957,11.472199,0.0,0.0
31.69,3.7,7.446036338806152,11.632906,3.0,0.0
31.69,3.7,7.445917129516602,11.583466,0.0,0.0
31.69,3.7,7.44993782043457,11.570405000000001,3.0,0.0
31.69,3.7,7.449559688568115,11.798859,0.0,0.0
31.69,3.7,7.448988778250558,10.148776999999999,1.0,0.0
31.69,3.7,7.449025630950928,11.617402,1.0,0.0
31.69,3.7,7.449589252471924,11.662324,3.0,0.0
31.69,3.7,7.449297904968262,12.018889999999999,6.0,0.0
31.69,3.699875,7.447351932525635,11.714814,5.0,0.0
31.69,3.7,7.447181224822998,11.582062,0.0,0.0
31.69,3.7,7.449707508087158,11.646516,0.0,0.0
31.69,3.7,7.449801445007324,11.564912,5.0,0.0
31.69,3.7,7.4490830557686945,10.148229,0.0,0.0
31.69,3.7,7.4474897384643555,11.638825,0.0,0.0
31.69,3.7,7.444775581359863,11.569306000000001,1.0,0.0
31.69,3.7,7.443883895874023,11.558075,0.0,0.0
31.69,3.7,7.447636604309082,11.616304,4.0,0.0
31.69,3.7,7.447200775146484,12.389006,6.0,0.0
31.69,3.7,7.447463035583496,11.713655,26.0,0.0
31.69,3.7,7.4491376876831055,11.617646,0.0,0.0
31.69,3.7,7.44740629196167,11.644135,36.0,0.0
31.69,3.7,7.44670159476144,10.226231,89.0,0.0
31.69,3.7,7.4463701248168945,11.658845,3.0,0.0
31.69,3.7,7.44834566116333,11.521271,63.0,0.0
31.69,3.7,7.450184345245361,11.528231,1.0,0.0
31.69,3.7,7.4492597579956055,11.539154,0.0,0.0
31.69,3.7,7.449789047241211,11.597383,4.0,0.0
31.69,3.7,7.4472174644470215,11.858856,6.0,0.0
31.69,3.7,7.445003032684326,11.620759,19.0,0.0
31.69,3.7,7.443661281040737,10.11411,0.0,0.0
31.69,3.7,7.444726467132568,11.596406,0.0,0.0
31.69,3.7,7.443696975708008,11.534393999999999,0.0,0.0
31.69,3.699875,7.443873882293701,11.524262,3.0,0.0
31.69,3.7,7.444882869720459,11.77829,0.0,0.0
31.69,3.7,7.446751117706299,11.568818,1.0,0.0
31.69,3.7,7.446913242340088,11.523043,0.0,0.0
31.69,3.699857142857143,7.446854727608817,10.297703,5.0,0.0
31.69,3.7,7.443286418914795,12.455229,6.0,0.0
31.69,3.7,7.440258502960205,11.860382,5.0,5.0
31.69,3.7,7.442409992218018,11.653596,1.0,0.0
31.69,3.699875,7.444694519042969,11.52945,0.0,0.0
31.69,3.7,7.443501063755581,10.170567,0.0,0.0
31.69,3.7,7.442653656005859,11.595857,5.0,0.0
31.69,3.7,7.443230152130127,11.586579,2.0,0.0
31.69,3.7,7.444290637969971,11.574251,1.0,0.0
31.69,3.7,7.444087505340576,11.611297,0.0,0.0
31.69,3.7,7.438265800476074,11.813386,1.0,0.0
31.69,3.7,7.433407306671143,12.060699,9.0,0.0
31.69,3.7,7.430366516113281,10.342625,4.0,0.0
31.69,3.7,7.432157039642334,11.865021,0.0,0.0
31.69,3.7,7.435000419616699,11.606049,0.0,0.0
31.69,3.7,7.43963098526001,11.595369,0.0,0.0
31.69,3.7,7.442535877227783,11.557282,3.0,0.0
31.69,3.7,7.443160533905029,11.590608,2.0,0.0
31.69,3.7,7.444957256317139,11.696319,1.0,3.0
31.69,3.7,7.445431232452393,11.572847,1.0,0.0
31.69,3.7,7.445547376360212,10.620823,1.0,0.0
31.695,3.699875,7.445319652557373,12.329922999999999,6.0,0.0
31.7,3.7,7.44606351852417,11.581392,36.0,0.0
31.7,3.7,7.445751667022705,11.715363,0.0,0.0
31.7,3.7,7.446091175079346,11.548249,3.0,0.0
31.7,3.7,7.444815635681152,11.627412,0.0,0.0
31.7,3.7,7.443413870675223,10.277989,4.0,0.0
31.7,3.7,7.442101955413818,11.737152,0.0,0.0
31.7,3.7,7.440025806427002,11.826204,1.0,0.0
31.7,3.7,7.439748764038086,11.624908,0.0,0.0
31.7,3.699875,7.444585800170898,11.672944,1.0,0.0
31.7,3.699875,7.445425033569336,12.140838,8.0,0.0
31.7,3.699875,7.445754051208496,11.767548,4.0,0.0
31.7,3.7,7.44586181640625,10.232396,59.0,0.0
31.7,3.7,7.44612455368042,11.692046999999999,13.0,0.0
31.7,3.7,7.446603298187256,11.639924,0.0,0.0
31.7,3.7,7.44731330871582,11.845307,1.0,0.0
31.7,3.7,7.4461493492126465,11.656465,0.0,0.0
31.7,3.7,7.446176528930664,11.705292,1.0,0.0
31.7,3.7,7.446135520935059,11.621613,3.0,0.0
31.7,3.7,7.445807320731027,10.253819,1.0,0.0
31.7,3.7,7.44634485244751,12.683683,6.0,0.0
31.7,3.7,7.446164131164551,11.84427,21.0,0.0
31.7,3.7,7.445814609527588,11.642365,26.0,0.0
31.7,3.7,7.446081161499023,11.705169,38.0,0.0
31.7,3.7,7.444920063018799,11.683809,98.0,0.0
31.7,3.7,7.442835126604352,10.181309,0.0,0.0
31.7,3.7,7.441443920135498,11.614716,8.0,0.0
31.7,3.7,7.43997049331665,11.5571,4.0,0.0
31.7,3.7,7.442433834075928,11.540986,0.0,0.0
31.7,3.7,7.444354057312012,11.47757,4.0,0.0
31.7,3.7,7.445423126220703,11.741242,6.0,0.0
31.7,3.7,7.439927577972412,11.786408,4.0,0.0
31.7,3.7,7.443931579589844,11.599335,1.0,0.0
31.7,3.7,7.442563193184989,10.149084,0.0,0.0
31.7,3.7,7.445157051086426,11.678131,0.0,0.0
31.7,3.699875,7.443882942199707,11.513825,0.0,0.0
31.7,3.7,7.443994522094727,11.572358,3.0,0.0
31.7,3.7,7.4435625076293945,11.41141,1.0,0.0
31.7,3.7,7.444149494171143,11.463959000000001,0.0,0.0
31.7,3.7,7.4447245597839355,11.397371,1.0,0.0
31.7,3.7,7.445060729980469,11.887788,2.0,0.0
31.7,3.7,7.437077522277832,11.832305,12.0,0.0
31.7,3.7,7.439643314906529,10.160009,0.0,0.0
31.7,3.7,7.441325664520264,11.553742,0.0,0.0
31.7,3.7,7.441962718963623,11.58841,1.0,0.0
31.7,3.7,7.445044994354248,11.63614,0.0,0.0
31.7,3.7,7.443840980529785,11.588349,5.0,0.0
31.7,3.7,7.441772937774658,11.494722,1.0,0.0
31.7,3.7,7.442561149597168,11.488923,0.0,0.0
31.7,3.7,7.442334175109863,11.595796,1.0,0.0
31.7,3.699875,7.440629959106445,11.591279,2.0,0.0
31.7,3.7,7.442507607596261,10.478672,8.0,0.0
31.7,3.7,7.443597793579102,11.629913,0.0,0.0
31.7,3.699875,7.443459987640381,11.661042,44.0,0.0
31.7,3.7,7.444194316864014,11.599214,0.0,0.0
31.7,3.7,7.445405960083008,11.545563,0.0,0.0
31.7,3.7,7.44457483291626,11.513764,3.0,0.0
31.7,3.7,7.444333553314209,11.5972,5.0,0.0
31.7,3.699875,7.444798946380615,11.474275,2.0,0.0
31.7,3.7,7.443032400948661,10.107152000000001,1.0,0.0
31.7,3.699875,7.440816879272461,12.151945999999999,2.0,0.0
31.7,3.7,7.440253734588623,11.818269,8.0,0.0
31.7,3.7,7.440223693847656,11.574066,0.0,0.0
31.7,3.7,7.44322395324707,11.55533,3.0,0.0
31.7,3.69975,7.440721035003662,11.406465,0.0,0.0
31.7,3.7,7.438741683959961,11.585969,0.0,0.0
31.7,3.7,7.438986778259277,11.652863,47.0,0.0
31.7,3.7,7.441550118582589,10.178624000000001,1.0,0.0
31.7,3.7,7.443065643310547,11.613557,0.0,0.0
31.7,3.7,7.441836833953857,11.646393,1.0,0.0
31.7,3.7,7.441949844360352,11.681428,2.0,0.0
31.7,3.7,7.442852973937988,12.143767,8.0,0.0
31.7,3.7,7.4420013427734375,11.785004,2.0,0.0
31.7,3.7,7.441273212432861,11.813873000000001,0.0,0.0
31.7,3.7,7.439776420593262,11.751862,2.0,0.0
31.7,3.7,7.441684177943638,10.246923,1.0,0.0
31.7,3.7,7.442595958709717,11.730622,3.0,0.0
31.7,3.7,7.445709705352783,11.752167,2.0,0.0
31.7,3.7,7.446493625640869,11.735688,0.0,0.0
31.7,3.7,7.446919918060303,11.85733,1.0,0.0
31.7,3.7,7.447343826293945,12.296539000000001,2.0,0.0
31.7,3.7,7.444571018218994,12.109771,26.0,0.0
31.7,3.7,7.443349361419678,11.652984,0.0,0.0
31.7,3.7,7.443045616149902,11.66733,41.0,0.0
31.7,3.7,7.446268354143415,10.287998,94.0,0.0
31.7,3.7,7.447969436645508,11.766083,0.0,0.0
31.7,3.7,7.447991847991943,11.721589,0.0,0.0
31.7,3.7,7.446139812469482,11.680878,1.0,0.0
31.7,3.7,7.443516254425049,11.602143,0.0,0.0
31.7,3.7,7.441488742828369,11.650056,12.0,0.0
31.7,3.7,7.440743923187256,11.621491,2.0,0.0
31.7,3.7,7.445589065551758,11.992035,8.0,0.0
31.7,3.7,7.447144099644253,10.209324,0.0,0.0
31.7,3.7,7.448430061340332,11.652557999999999,0.0,0.0
31.7,3.7,7.44710111618042,11.675447,0.0,0.0
31.7,3.7,7.444860458374023,11.672272,0.0,0.0
31.7,3.7,7.446084499359131,11.664338,3.0,0.0
31.7,3.7,7.445331573486328,11.715241,1.0,0.0
31.7,3.7,7.446525573730469,11.722137,0.0,0.0
31.7,3.7,7.445079803466797,11.749299,1.0,0.0
31.7,3.7,7.44695554460798,10.857883,2.0,0.0
31.70375,3.7,7.446258544921875,12.184783,59.0,0.0
31.71,3.7,7.442571640014648,11.651276,4.0,0.0
31.71,3.7,7.442017555236816,11.733307,0.0,0.0
31.71,3.7,7.44150972366333,11.809968,0.0,0.0
31.71,3.6944285714285714,7.44475337437221,11.572053,5.0,0.0
