cpu_all_util_percent,cpu_frequency_ghz,memory_util_gb,energy_util_during_interval_j,sda_write_count_during_interval,sda_read_count_during_interval
5.98,2.8882,1.9900863647460938,50.077875,0.0,0.0
5.98,2.9148,1.9898780822753905,55.775797,2.0,0.0
5.98,2.9118333333333335,1.9885603586832683,66.949841,0.0,0.0
5.98,2.906,1.9871902465820312,67.020641,0.0,0.0
5.98,2.9113333333333333,1.9884529113769531,67.12525600000001,0.0,0.0
5.98,2.885,1.989458719889323,67.394236,2.0,0.0
5.98,2.8956666666666666,1.9880504608154297,66.979077,2.0,0.0
5.98,2.9034999999999997,1.987142562866211,66.876538,1.0,0.0
5.98,2.906166666666667,1.987831751505534,67.007458,0.0,0.0
5.98,2.9225,1.9891554514567058,66.998668,0.0,0.0
5.98,2.932166666666667,1.9897225697835286,67.03693799999999,107.0,0.0
5.98,2.9084,1.9899307250976563,55.85911,2.0,0.0
5.98,2.9038333333333335,1.989000956217448,67.022961,2.0,0.0
5.98,2.9018333333333337,1.9892832438151042,67.046825,0.0,0.0
5.98,2.9149999999999996,1.9874471028645833,67.187145,0.0,0.0
5.98,2.9043333333333337,1.9879391988118489,67.149914,15.0,0.0
5.98,2.9023333333333334,1.989341100056966,67.13264,0.0,0.0
5.98,2.922,1.9887320200602214,67.174084,2.0,0.0
5.98,2.922333333333333,1.9874210357666016,67.205455,0.0,0.0
5.98,2.9278333333333335,1.9861901601155598,67.222789,0.0,0.0
5.98,2.8548333333333336,1.9868265787760417,67.830881,0.0,0.0
5.98,2.892333333333333,1.987185796101888,67.241344,0.0,0.0
5.98,2.9181999999999997,1.9887039184570312,55.983683,2.0,0.0
5.98,2.9181666666666666,1.9877980550130208,67.11372,0.0,0.0
5.98,2.9055,1.9878228505452473,67.039745,0.0,0.0
5.98,2.919333333333333,1.9879989624023438,67.145458,0.0,0.0
5.98,2.9341666666666666,1.987291971842448,67.07600000000001,3.0,0.0
5.98,2.922333333333333,1.9870713551839192,66.980847,2.0,0.0
5.98,2.9250000000000003,1.9876155853271484,67.304576,0.0,0.0
5.98,2.920833333333333,1.9868958791097004,67.12250900000001,0.0,0.0
5.98,2.938333333333333,1.987744649251302,67.284496,0.0,0.0
5.98,2.9175,1.9877618153889973,67.2494,4.0,0.0
5.98,2.919333333333333,1.9876410166422527,67.071545,2.0,0.0
5.98,2.9101666666666666,1.9866313934326172,67.330272,0.0,0.0
5.98,2.9366,1.98887939453125,56.0225,0.0,0.0
5.98,2.890833333333333,1.9881629943847656,67.781321,0.0,0.0
5.98,2.912333333333333,1.9868520100911458,67.515025,2.0,0.0
5.98,2.9115,1.9867706298828125,67.20020600000001,0.0,0.0
5.98,2.921,1.986965815226237,67.32563400000001,2.0,0.0
5.98,2.9128333333333334,1.9874025980631511,67.270213,0.0,0.0
5.98,2.9269999999999996,1.9869906107584636,67.289806,0.0,0.0
5.98,2.9166666666666665,1.9877007802327473,67.300365,0.0,0.0
5.98,2.9473333333333334,1.9873097737630208,67.251109,0.0,0.0
5.98,2.9290000000000003,1.9865601857503254,67.221935,4.0,0.0
5.98,2.9074,1.9878707885742188,56.107767,0.0,0.0
5.98,2.906166666666667,1.9875723520914714,67.257396,0.0,0.0
5.98,2.9331666666666667,1.9877001444498699,67.334544,1.0,0.0
5.98,2.9203333333333332,1.988655726114909,67.265453,0.0,0.0
5.98,2.9106666666666663,1.9895280202229817,67.409373,2.0,0.0
5.98,2.9175,1.990121841430664,67.228344,0.0,0.0
5.98,2.9058333333333337,1.9893595377604167,67.470591,0.0,0.0
5.98,2.9004999999999996,1.9891656239827473,67.200329,6.0,0.0
5.98,2.922,1.9892972310384114,67.263316,0.0,0.0
5.98,2.918833333333333,1.9897626241048176,67.360424,2.0,0.0
5.98,2.9305,1.9887803395589192,67.33411699999999,0.0,0.0
5.98,2.9234,1.9886070251464845,56.284035,0.0,0.0
5.98,2.9194999999999998,1.9882405598958333,67.369457,40.0,0.0
5.98,2.9266666666666663,1.9882806142171223,67.325145,0.0,0.0
5.98,2.9280000000000004,1.9880021413167317,67.142345,2.0,0.0
5.98,2.921,1.9884872436523438,67.07636600000001,2.0,0.0
5.98,2.920166666666667,1.9882151285807292,67.333263,0.0,0.0
5.98,2.9294999999999995,1.9876422882080078,67.29072099999999,9.0,0.0
5.98,2.9415,1.9888375600179036,66.959851,0.0,0.0
5.98,2.9156666666666666,1.9866771697998047,67.319896,0.0,0.0
5.98,2.9273333333333333,1.9873002370198567,67.23804799999999,2.0,0.0
5.98,2.8836666666666666,1.9882621765136719,68.018136,0.0,0.0
5.98,2.9084,1.9891075134277343,56.439675,0.0,0.0
5.988333333333333,2.8855,1.9896195729573567,67.969431,1.0,0.0
5.989999999999999,2.916,1.9879531860351562,67.194835,0.0,0.0
5.989999999999999,2.921,1.987344741821289,67.32307,2.0,0.0
5.989999999999999,2.9318333333333335,1.9877325693766277,67.331676,0.0,0.0
5.989999999999999,2.9158333333333335,1.9883683522542317,67.425486,2.0,0.0
5.989999999999999,2.9154999999999998,1.9879315694173176,67.582652,87.0,0.0
5.989999999999999,2.9150000000000005,1.9882984161376953,67.458201,0.0,0.0
5.989999999999999,2.9286666666666665,1.9872805277506511,67.2859,2.0,0.0
5.989999999999999,2.9098333333333333,1.987874984741211,67.434214,0.0,0.0
5.99,2.923,1.9882637023925782,56.153543,0.0,0.0
5.989999999999999,2.908333333333333,1.9879608154296875,67.369457,2.0,0.0
5.989999999999999,2.9153333333333333,1.987129847208659,67.426951,0.0,0.0
5.989999999999999,2.9166666666666665,1.9875653584798176,67.222911,0.0,0.0
5.989999999999999,2.8985,1.9888547261555989,68.068063,2.0,0.0
5.989999999999999,2.9131666666666667,1.987984339396159,67.410289,0.0,0.0
5.989999999999999,2.9288333333333334,1.9859625498453777,67.514598,0.0,0.0
5.989999999999999,2.9250000000000003,1.9871972401936848,67.35078,0.0,0.0
