cpu_all_util_percent,cpu_frequency_ghz,memory_util_gb,energy_util_during_interval_j,sda_write_count_during_interval,sda_read_count_during_interval
8.3725,2.40675,1.3357887268066406,20.14155,64.0,0.0
8.41,2.706,5.790229797363281,103.835061,112.0,0.0
,,,0.0,0.0,0.0
9.1,2.699,5.799900054931641,184.579911,165.0,0.0
,,,0.0,0.0,0.0
10.11,2.698,5.80352783203125,181.816795,164.0,0.0
,,,0.0,0.0,0.0
11.05,2.699,5.805450439453125,189.97864,172.0,0.0
12.02,2.699,5.807750701904297,185.563367,255.0,0.0
,,,0.0,0.0,0.0
12.93,2.699,5.809360504150391,160.604204,144.0,0.0
14.030000000000001,2.7045,5.810390472412109,176.094825,154.0,0.0
